wallet_id,customer_cif,wallet_kyc_category,wallet_status,wallet_opening_date,escrow_account_linked,per_txn_limit,daily_txn_limit,monthly_txn_limit,annual_txn_limit,max_balance_limit,linked_bank_account
WLT529679361483,755054487739,Full KYC,Active,17-06-2021,ESC5822868174242,200000,200000,200000,2400000,200000,83384358413158
WLT461333367487,916163150089,Full KYC,Active,25-11-2024,ESC7614961628563,200000,200000,200000,2400000,200000,6789654411716199
WLT616830655231,212529925289,Minimum KYC,Active,25-02-2020,ESC3213195639567,10000,10000,10000,120000,10000,8733948489135486
WLT352756983284,532488874822,Minimum KYC,Active,20-12-2021,ESC6374234399822,10000,10000,10000,120000,10000,58276982659813
WLT849953243819,951368742293,Full KYC,Active,08-08-2024,ESC3750994030121,200000,200000,200000,2400000,200000,244392317830
WLT153266304838,105510432090,Full KYC,Active,15-12-2021,ESC2257559367434,200000,200000,200000,2400000,200000,891756094072
WLT177335593778,730948624585,Minimum KYC,Active,21-11-2022,ESC3686183407914,10000,10000,10000,120000,10000,79091901974748
WLT477761023666,256876779055,Full KYC,Active,28-04-2024,ESC2620797597066,200000,200000,200000,2400000,200000,441412809123
WLT929949709616,544973332681,Minimum KYC,Suspended,24-10-2015,ESC6501841988316,10000,10000,10000,120000,10000,83196076446175
WLT687460390819,116091962951,Minimum KYC,Active,10-12-2023,ESC7783316744554,10000,10000,10000,120000,10000,11092724387
WLT472817372358,240583276758,Minimum KYC,Active,09-10-2022,ESC7684146982814,10000,10000,10000,120000,10000,9764460194282360
WLT874123595671,963941088246,Full KYC,Active,15-10-2018,ESC4134635432189,200000,200000,200000,2400000,200000,82799951167411
WLT750088606807,136738178645,Full KYC,Active,17-06-2023,ESC7533250745422,200000,200000,200000,2400000,200000,552330896337
WLT701105303619,405107024513,Minimum KYC,Active,11-07-2024,ESC2192672294815,10000,10000,10000,120000,10000,685131455825
WLT292131349256,664584166416,Minimum KYC,Active,05-01-2025,ESC4683070143493,10000,10000,10000,120000,10000,3217243689073
WLT943019251408,654649029653,Full KYC,Active,21-05-2023,ESC4299480106196,200000,200000,200000,2400000,200000,9239417183498
WLT669001233952,848181980777,Full KYC,Active,24-10-2015,ESC4750573053748,200000,200000,200000,2400000,200000,15441781965905
WLT092475044159,262688850188,Full KYC,Active,28-12-2018,ESC7624370150750,200000,200000,200000,2400000,200000,670907012689
WLT814876325563,251080953605,Full KYC,Closed,05-09-2024,ESC9156600951459,200000,200000,200000,2400000,200000,537603637732
WLT092148470103,984895263648,Minimum KYC,Active,17-02-2021,ESC8513991723681,10000,10000,10000,120000,10000,1803336510449
WLT259642707272,238693096936,Full KYC,Active,05-10-2019,ESC7069885681101,200000,200000,200000,2400000,200000,465028405102
WLT738771981501,541408723095,Full KYC,Active,30-01-2025,ESC2227152801234,200000,200000,200000,2400000,200000,391408264038
WLT879909486540,170669174848,Full KYC,Active,14-06-2023,ESC4779745021224,200000,200000,200000,2400000,200000,2673677485088
WLT970364021075,721119494065,Full KYC,Active,07-01-2018,ESC4013334513669,200000,200000,200000,2400000,200000,4754421830589
WLT838030088669,548909588077,Full KYC,Active,03-06-2018,ESC5958401638076,200000,200000,200000,2400000,200000,8529009349584408
WLT327568218168,281220561898,Minimum KYC,Active,24-02-2020,ESC9040274022403,10000,10000,10000,120000,10000,4988965037140217
WLT135780318738,944316228929,Full KYC,Active,10-10-2022,ESC2118983182312,200000,200000,200000,2400000,200000,7831839716990583
WLT084658945259,513463275505,Minimum KYC,Active,14-12-2022,ESC3038434484388,10000,10000,10000,120000,10000,56753657914512
WLT695195554649,278785976819,Full KYC,Active,29-09-2015,ESC5473492085793,200000,200000,200000,2400000,200000,1707362715808
WLT268613981766,934755828205,Minimum KYC,Active,10-01-2025,ESC1736337124395,10000,10000,10000,120000,10000,474985447882
WLT985226810704,146990169279,Full KYC,Closed,12-03-2020,ESC2872549967588,200000,200000,200000,2400000,200000,182787200652
WLT067551329051,787233049825,Minimum KYC,Active,20-03-2022,ESC2969680636174,10000,10000,10000,120000,10000,645333701350
WLT807974681828,773488340843,Full KYC,Active,24-12-2018,ESC7910064733137,200000,200000,200000,2400000,200000,8303472789589457
WLT823656632337,153457207363,Full KYC,Active,28-02-2023,ESC9179482463420,200000,200000,200000,2400000,200000,27680053040093
WLT145944916731,468362508034,Full KYC,Active,16-04-2024,ESC3626478220138,200000,200000,200000,2400000,200000,9225068603414
WLT971912270636,141227828919,Minimum KYC,Active,02-07-2021,ESC6367998782490,10000,10000,10000,120000,10000,46878578436
WLT913063218458,558316491155,Full KYC,Active,25-12-2023,ESC9659951299097,200000,200000,200000,2400000,200000,53540545649
WLT440805986136,272537394312,Full KYC,Active,15-09-2022,ESC1100154580424,200000,200000,200000,2400000,200000,6609929634992
WLT423417416590,508782562838,Minimum KYC,Active,09-12-2023,ESC4853104256600,10000,10000,10000,120000,10000,293829863741
WLT919206666975,206141412498,Full KYC,Active,07-12-2024,ESC5083322993022,200000,200000,200000,2400000,200000,9170811711154
WLT687742475569,436545066867,Minimum KYC,Active,29-07-2022,ESC5770366428103,10000,10000,10000,120000,10000,35743270477157
WLT556346468752,740643413726,Minimum KYC,Active,18-08-2024,ESC4117461400667,10000,10000,10000,120000,10000,28929633963
WLT625455538181,324422813828,Full KYC,Active,05-07-2019,ESC3480425321526,200000,200000,200000,2400000,200000,22268830965
WLT441655531428,439960859238,Full KYC,Active,21-03-2017,ESC8522541189700,200000,200000,200000,2400000,200000,812217427339
WLT119487961674,299687015246,Minimum KYC,Active,10-10-2022,ESC8480529275106,10000,10000,10000,120000,10000,1299011493285040
WLT853174014319,718914348176,Full KYC,Active,01-11-2016,ESC3223157394442,200000,200000,200000,2400000,200000,4549935935394
WLT846841635635,917892609133,Minimum KYC,Active,12-05-2022,ESC1357941977620,10000,10000,10000,120000,10000,685559260321
WLT361882145035,942791253892,Full KYC,Active,04-10-2022,ESC5751287384809,200000,200000,200000,2400000,200000,15045320028
WLT070472997673,432723503779,Minimum KYC,Active,20-08-2021,ESC5161244254723,10000,10000,10000,120000,10000,52996878836149
WLT869408822735,350440280782,Minimum KYC,Closed,21-03-2016,ESC2383994315503,10000,10000,10000,120000,10000,9229388297149
WLT689001980394,679669683046,Minimum KYC,Active,27-05-2023,ESC3678485770950,10000,10000,10000,120000,10000,8610965071343
WLT008892976904,334843393195,Full KYC,Active,10-09-2023,ESC5239377902931,200000,200000,200000,2400000,200000,732301636387
WLT938292515079,157352290958,Minimum KYC,Active,27-03-2023,ESC2285479639960,10000,10000,10000,120000,10000,7075719107461
WLT633806710701,685324091086,Full KYC,Active,29-09-2021,ESC7911676500511,200000,200000,200000,2400000,200000,9267056061948
WLT577281500345,932853052373,Full KYC,Suspended,06-04-2021,ESC3482935206114,200000,200000,200000,2400000,200000,18243279486325
WLT293155338366,832036063389,Minimum KYC,Active,04-07-2023,ESC1656426987853,10000,10000,10000,120000,10000,9891899887031
WLT665361020116,380806995702,Minimum KYC,Active,04-07-2020,ESC4408346979619,10000,10000,10000,120000,10000,86095709700087
WLT179149263131,591977742266,Full KYC,Active,16-09-2022,ESC6528501443471,200000,200000,200000,2400000,200000,39679242485
WLT504900000020,229161882637,Full KYC,Active,10-07-2022,ESC3887985442215,200000,200000,200000,2400000,200000,53109915290
WLT744820159139,691260492866,Minimum KYC,Active,11-10-2022,ESC1490849296050,10000,10000,10000,120000,10000,181454485436
WLT538173923819,918528871370,Full KYC,Closed,20-03-2019,ESC9716180885811,200000,200000,200000,2400000,200000,937668334257
WLT313550540401,177522947394,Minimum KYC,Active,17-11-2023,ESC1909422552191,10000,10000,10000,120000,10000,4648152419452
WLT899518336827,961923381633,Full KYC,Active,06-03-2021,ESC8158718524272,200000,200000,200000,2400000,200000,173767916658
WLT911316069404,104211844236,Full KYC,Active,17-10-2019,ESC4956659970152,200000,200000,200000,2400000,200000,887395774057
WLT767793674212,204931224981,Minimum KYC,Active,16-04-2023,ESC9463455999020,10000,10000,10000,120000,10000,65540580338
WLT809575389085,220910290605,Full KYC,Active,11-01-2021,ESC4849771304693,200000,200000,200000,2400000,200000,688014066825
WLT490021287884,173646776012,Minimum KYC,Active,07-11-2023,ESC9862485571625,10000,10000,10000,120000,10000,9289468611647
WLT829714482900,461485787186,Full KYC,Active,16-10-2020,ESC4554969076977,200000,200000,200000,2400000,200000,269894092095
WLT061736663131,815822403512,Minimum KYC,Active,06-01-2021,ESC2535146383776,10000,10000,10000,120000,10000,42091453830
WLT179230063936,886814108140,Full KYC,Active,05-03-2019,ESC2809186315193,200000,200000,200000,2400000,200000,7439173226829
WLT858098469509,141005018398,Full KYC,Closed,15-06-2022,ESC9383169876038,200000,200000,200000,2400000,200000,237102154953
WLT894737326824,874221594202,Minimum KYC,Active,06-02-2023,ESC5969937615902,10000,10000,10000,120000,10000,179395744673
WLT796971744402,115667077674,Full KYC,Active,19-07-2021,ESC5634211921916,200000,200000,200000,2400000,200000,9129242811371
WLT364069962498,569778642782,Full KYC,Active,23-02-2024,ESC2436637386595,200000,200000,200000,2400000,200000,99824812134
WLT292500743996,910584538160,Full KYC,Active,03-07-2016,ESC8849719080846,200000,200000,200000,2400000,200000,81852409423
WLT670544372476,573954954668,Minimum KYC,Active,17-03-2023,ESC4638577909676,10000,10000,10000,120000,10000,97993120046
WLT108916154327,535017802574,Full KYC,Active,09-06-2024,ESC5272000022971,200000,200000,200000,2400000,200000,9108475722426
WLT806639916286,197788170176,Full KYC,Active,24-06-2018,ESC5397992858803,200000,200000,200000,2400000,200000,852721246573
WLT693987992049,646387221346,Minimum KYC,Active,09-08-2018,ESC6745417016381,10000,10000,10000,120000,10000,793995548868
WLT993689232873,791207864135,Full KYC,Active,06-02-2024,ESC2551265547972,200000,200000,200000,2400000,200000,6758430195275
WLT776394132784,364031837045,Minimum KYC,Closed,26-05-2023,ESC3203782104611,10000,10000,10000,120000,10000,5485990607127230
WLT694906375835,537928578365,Minimum KYC,Active,13-10-2019,ESC8364260213266,10000,10000,10000,120000,10000,23477613711
WLT470728701662,758336641777,Full KYC,Active,28-01-2023,ESC5387967825104,200000,200000,200000,2400000,200000,364177123843
WLT328836391785,198368197539,Full KYC,Active,04-04-2023,ESC4335420007101,200000,200000,200000,2400000,200000,56632994535465
WLT176059511607,324281659182,Minimum KYC,Active,14-04-2023,ESC2069860191865,10000,10000,10000,120000,10000,40635625411954
WLT357486257746,969953613787,Minimum KYC,Active,28-03-2020,ESC4211681582380,10000,10000,10000,120000,10000,5277004268516
WLT125322244082,383990162609,Full KYC,Active,12-05-2024,ESC4895555119563,200000,200000,200000,2400000,200000,60116891898
WLT491276075969,564903638274,Full KYC,Active,02-04-2022,ESC1827309131541,200000,200000,200000,2400000,200000,675573037188
WLT433674709680,171344788844,Minimum KYC,Active,05-11-2018,ESC5376800812079,10000,10000,10000,120000,10000,22056126274642
WLT544691090724,317155324885,Minimum KYC,Active,30-03-2020,ESC6152166447448,10000,10000,10000,120000,10000,38801091878337
WLT201997700710,834826866655,Full KYC,Active,01-04-2023,ESC8824583176634,200000,200000,200000,2400000,200000,13057469543
WLT038174541801,381320556039,Full KYC,Active,05-12-2021,ESC8030586669433,200000,200000,200000,2400000,200000,37862924468
WLT053046755713,936057703224,Minimum KYC,Active,29-07-2023,ESC6909956511894,10000,10000,10000,120000,10000,2192997327191
WLT671452371946,579029113341,Full KYC,Active,02-12-2023,ESC6163640092902,200000,200000,200000,2400000,200000,95491593154
WLT782887478155,342412503644,Full KYC,Active,14-07-2016,ESC9018167855530,200000,200000,200000,2400000,200000,39150407125434
WLT235580365547,493145459019,Full KYC,Active,01-01-2018,ESC3717243012809,200000,200000,200000,2400000,200000,10885121375181
WLT848444767666,437605008189,Full KYC,Active,10-08-2021,ESC4141653584396,200000,200000,200000,2400000,200000,7522153088364
WLT080786820840,926465338272,Full KYC,Active,13-07-2021,ESC6573925247324,200000,200000,200000,2400000,200000,9171452704373
WLT261039813674,703822090594,Full KYC,Active,01-09-2020,ESC3827266996956,200000,200000,200000,2400000,200000,20693563346
WLT475804905238,655435813500,Minimum KYC,Suspended,03-05-2024,ESC8939661522660,10000,10000,10000,120000,10000,72810240786784
WLT997334925052,776899273209,Full KYC,Active,23-09-2023,ESC2220462092480,200000,200000,200000,2400000,200000,3234982998631
WLT213727675860,882295537316,Full KYC,Active,20-08-2019,ESC9516385651337,200000,200000,200000,2400000,200000,9228913046798
WLT099396882144,363524708286,Minimum KYC,Active,06-03-2024,ESC3545451091271,10000,10000,10000,120000,10000,3272078771675789
WLT489543614256,452613446753,Full KYC,Active,06-06-2019,ESC5782437224550,200000,200000,200000,2400000,200000,1888077786999
WLT281988524818,646652148721,Minimum KYC,Active,04-12-2024,ESC4678418230286,10000,10000,10000,120000,10000,16286846246963
WLT829870964920,583603997096,Full KYC,Active,19-04-2020,ESC3346953175680,200000,200000,200000,2400000,200000,6715949664065
WLT382564992197,725122693104,Full KYC,Active,13-05-2024,ESC6091155742335,200000,200000,200000,2400000,200000,66815576206
WLT439391341351,901218793786,Full KYC,Active,30-04-2021,ESC6590648814250,200000,200000,200000,2400000,200000,34946351909838
WLT316648919570,645880031648,Full KYC,Active,25-12-2021,ESC1174563097315,200000,200000,200000,2400000,200000,1089821605599
WLT698857284607,398519479466,Minimum KYC,Active,14-04-2019,ESC5422274459730,10000,10000,10000,120000,10000,9575461131940
WLT812919458063,136140245674,Full KYC,Active,20-03-2024,ESC2124753542271,200000,200000,200000,2400000,200000,52267537330
WLT474173494466,165089739489,Full KYC,Active,06-02-2019,ESC4940008430787,200000,200000,200000,2400000,200000,251633718475
WLT382649415007,827197766289,Minimum KYC,Active,26-03-2021,ESC7570928740890,10000,10000,10000,120000,10000,63204797701243
WLT171645885978,281926170437,Full KYC,Active,14-04-2021,ESC8503965558092,200000,200000,200000,2400000,200000,9145789146229
WLT028205957253,282807599256,Minimum KYC,Active,20-02-2019,ESC5223966316989,10000,10000,10000,120000,10000,93317320700
WLT587755931627,965658081285,Minimum KYC,Active,10-07-2024,ESC2248852045353,10000,10000,10000,120000,10000,984844224595
WLT228697619868,239397949975,Full KYC,Active,06-02-2022,ESC2976196855150,200000,200000,200000,2400000,200000,92091233970
WLT063253663366,752807674652,Minimum KYC,Active,31-03-2021,ESC7190312663466,10000,10000,10000,120000,10000,92108938584
WLT847102909718,822420135468,Minimum KYC,Closed,28-09-2024,ESC2303117666123,10000,10000,10000,120000,10000,438989332415
WLT326254164840,960910440716,Minimum KYC,Active,24-04-2020,ESC3209869934109,10000,10000,10000,120000,10000,949878470490
WLT579614541604,729927104027,Minimum KYC,Active,17-06-2023,ESC5679241373645,10000,10000,10000,120000,10000,9119428587546
WLT376774311398,392735512552,Minimum KYC,Active,08-07-2020,ESC6236070297112,10000,10000,10000,120000,10000,252003697359
WLT815251102967,545926076258,Full KYC,Active,26-10-2024,ESC9724177954408,200000,200000,200000,2400000,200000,18602169372
WLT454964846698,889411456754,Minimum KYC,Active,04-03-2023,ESC7289722060112,10000,10000,10000,120000,10000,29953337560
WLT761733976211,658233688948,Full KYC,Suspended,01-02-2023,ESC5697383535288,200000,200000,200000,2400000,200000,5616390756703
WLT916528224030,168611147231,Full KYC,Active,20-09-2024,ESC8636550319417,200000,200000,200000,2400000,200000,32121937018
WLT348594015900,135779765678,Full KYC,Active,14-03-2024,ESC9206966116726,200000,200000,200000,2400000,200000,6501494791948565
WLT891126570312,694336669835,Minimum KYC,Suspended,06-10-2024,ESC3903983949292,10000,10000,10000,120000,10000,8256106903669
WLT979457921872,765855724078,Full KYC,Active,04-04-2023,ESC2695440502386,200000,200000,200000,2400000,200000,552037204005
WLT213346222266,282578198204,Minimum KYC,Active,05-12-2019,ESC8185251679563,10000,10000,10000,120000,10000,669872601940
WLT392497457220,261744322811,Full KYC,Active,20-01-2022,ESC2674819054790,200000,200000,200000,2400000,200000,7254992195808965
WLT136917122183,991682598266,Minimum KYC,Active,29-05-2019,ESC4098873800164,10000,10000,10000,120000,10000,4156991319406
WLT577516875286,820031665037,Full KYC,Active,06-12-2024,ESC2227900571071,200000,200000,200000,2400000,200000,1824369200560
WLT901360211056,911685360606,Full KYC,Active,26-05-2023,ESC7125274633613,200000,200000,200000,2400000,200000,63525758889
WLT019473398091,291301955358,Full KYC,Active,01-02-2020,ESC7839702569921,200000,200000,200000,2400000,200000,69583659612221
WLT245814970463,958377131333,Full KYC,Active,18-11-2022,ESC5694090408420,200000,200000,200000,2400000,200000,9108470589627
WLT695580576905,456224535573,Full KYC,Active,22-07-2023,ESC8239717248260,200000,200000,200000,2400000,200000,556817066379
WLT157625023254,942858182277,Minimum KYC,Active,21-03-2023,ESC8758157798483,10000,10000,10000,120000,10000,914589625220
WLT525263657317,220270818266,Full KYC,Active,24-12-2022,ESC3158764410527,200000,200000,200000,2400000,200000,42031236743
WLT962063675504,963310484567,Full KYC,Active,18-04-2023,ESC9621618179913,200000,200000,200000,2400000,200000,9589562930580
WLT837372736100,235849676813,Minimum KYC,Active,04-01-2020,ESC5220171598000,10000,10000,10000,120000,10000,1353847638153
WLT221244349176,204904257879,Full KYC,Active,23-01-2018,ESC4502285316259,200000,200000,200000,2400000,200000,75213594441493
WLT105321150204,155966513083,Full KYC,Active,12-11-2023,ESC6295052610577,200000,200000,200000,2400000,200000,42647034693
WLT150016824750,921256299848,Full KYC,Active,31-10-2021,ESC3919566145520,200000,200000,200000,2400000,200000,3090974243184
WLT872420946469,731554453187,Full KYC,Active,10-06-2024,ESC3400854135358,200000,200000,200000,2400000,200000,45999316050288
WLT744413450987,645937564868,Full KYC,Active,20-01-2021,ESC7984615518236,200000,200000,200000,2400000,200000,17474023048
WLT358334082886,207274502564,Minimum KYC,Active,21-05-2021,ESC4152872840681,10000,10000,10000,120000,10000,4827716364875764
WLT283776450867,854592060047,Full KYC,Active,21-12-2023,ESC3969183335862,200000,200000,200000,2400000,200000,60090947300139
WLT135094562664,926359803207,Minimum KYC,Active,06-11-2022,ESC4815373282500,10000,10000,10000,120000,10000,1155600251920
WLT502507209371,803575335459,Full KYC,Active,04-02-2023,ESC2565686240812,200000,200000,200000,2400000,200000,3410864997624639
WLT243701265862,565720726639,Minimum KYC,Active,31-01-2025,ESC8411341204579,10000,10000,10000,120000,10000,46424736178841
WLT123090214739,649459757142,Minimum KYC,Active,09-10-2023,ESC2682966740514,10000,10000,10000,120000,10000,252188908753
WLT523417008473,793304907697,Full KYC,Suspended,13-10-2023,ESC2251597198539,200000,200000,200000,2400000,200000,72918691468874
WLT498893207409,779816337284,Full KYC,Active,13-07-2021,ESC7956144098338,200000,200000,200000,2400000,200000,7911965492831290
WLT782927517772,580653437281,Full KYC,Active,26-08-2022,ESC8386742207209,200000,200000,200000,2400000,200000,345810072460
WLT571846881916,504855476494,Full KYC,Active,24-03-2023,ESC5583576883253,200000,200000,200000,2400000,200000,29537694636
WLT688700661000,606381186752,Full KYC,Active,20-02-2023,ESC3988525603592,200000,200000,200000,2400000,200000,9145678985590
WLT087751908154,821793208826,Full KYC,Closed,28-02-2024,ESC8384926823600,200000,200000,200000,2400000,200000,65707647324
WLT163934488196,724923585488,Full KYC,Active,18-12-2023,ESC1557276941497,200000,200000,200000,2400000,200000,60444362798785
WLT731896987088,299296423121,Full KYC,Active,18-02-2023,ESC2522629719262,200000,200000,200000,2400000,200000,17729302142389
WLT963368734630,200228187071,Minimum KYC,Active,21-06-2020,ESC8700815200881,10000,10000,10000,120000,10000,89171283159295
WLT660464284497,561331815809,Minimum KYC,Active,23-04-2024,ESC1015298857541,10000,10000,10000,120000,10000,22038948628
WLT804769114084,295312722964,Minimum KYC,Active,26-08-2023,ESC1640682066789,10000,10000,10000,120000,10000,2639087228648
WLT574519295188,401912250136,Full KYC,Active,07-10-2021,ESC9088607872629,200000,200000,200000,2400000,200000,6958746816928035
WLT234801596953,155625018780,Full KYC,Active,08-01-2017,ESC1097437832904,200000,200000,200000,2400000,200000,9104809715065
WLT493771530976,439421439982,Full KYC,Active,08-06-2020,ESC3528038883092,200000,200000,200000,2400000,200000,22153594587532
WLT848440700411,668742854219,Full KYC,Active,09-12-2024,ESC8292318568744,200000,200000,200000,2400000,200000,84256298377
WLT473947447327,586060207067,Minimum KYC,Active,19-07-2024,ESC5736089586935,10000,10000,10000,120000,10000,844061791044
WLT504696333584,251836664584,Minimum KYC,Active,31-03-2023,ESC5266873357667,10000,10000,10000,120000,10000,59935176399
