customer_cif,customer_name,customer_type,customer_entity_type,date_of_birth,father_spouse_name,nationality,citizenship,residency,tax_residency,pan,aadhaar,aadhaar_masked,identification_doc_no,mobile_number,email_id,address_individual,state,city,address_lat,address_lon,occupation_industry,annual_income,professional_experience_years,source_of_funds,_nri_country,customer_risk_score,pep_flag,hni_flag,minor_flag,non_face_to_face_flag,vkyc_flag,cif_creation_date,kyc_update_date,date_of_incorporation,place_of_incorporation,beneficial_owner_types,passive_nfe,address_registered_office,address_place_of_business,address_beneficial_owners,entity_identification_doc_no,cif_beneficial_owners,name_beneficial_owners
928468492384,Anita Das,Individual,Individual,20-03-1993,Amit Mehta,Indian,Indian,Resident,India,WXCPE5329J,267709883547,XXXX-XXXX-8711,AADHAAR-6785XXXX6188,8630228663,anita.das58@rediffmail.com,"127, Nehru Place, Dwarka, Delhi - 776434",Delhi,Dwarka,16.97621,81.772434,Accountant,213654,23,Family Support,,Low,N,N,N,N,N,11-12-2016,11-03-2017,,,,,,,,,,
820608473530,Nikhil Malhotra,Individual,Individual,24-04-1974,Vivek Deshmukh,Indian,Indian,Resident,India,VGHPI8342W,745116180257,XXXX-XXXX-3322,AADHAAR-3872XXXX1718,7368552539,nikhil.malhotra245@rediffmail.com,"324, Park Street, Pune, Maharashtra - 270036",Maharashtra,Pune,18.51257,73.828792,Retired,572233,24,Salary,,Medium,N,N,N,Y,N,30-03-2020,10-05-2023,,,,,,,,,,
745839207491,Premier Infra,Non-Individual,Public Limited,,,Indian,,Resident,India,VMJGA4154D,,,,9411949793,premier117@rediffmail.com,,Gujarat,Ahmedabad,23.039385,72.565652,Import/Export,119307275,,Trading Profits,,Medium,N,N,N,N,N,10-12-2022,06-11-2023,25-10-2016,"Ahmedabad, Gujarat",Senior Managing Official,N,"104 Corporate Park, Ahmedabad, Gujarat - 753132","Plot 368, Industrial Area, Ahmedabad, Gujarat","995, Residential Colony, Ahmedabad, Gujarat",U52713BE2018PTC659883,206257141478,Akash Das
870530991089,Kavita Chauhan,Individual,Individual,13-07-1984,Nikhil Mishra,Indian,Indian,Resident,India,FQBPF0467X,406201038768,XXXX-XXXX-5202,AADHAAR-3717XXXX6616,8279590702,kavita.chauhan666@outlook.com,"393, Nehru Place, Panipat, Haryana - 268517",Haryana,Panipat,23.996296,74.756906,Retired,1154872,15,Investment Returns,,Medium,N,N,N,Y,N,26-05-2017,29-04-2023,,,,,,,,,,
654137072292,Om Enterprises,Non-Individual,Private Limited,,,Indian,,Resident,India,RMUJY5114E,,,,6219455226,om350@outlook.com,,Gujarat,Vadodara,17.017209,80.038133,Education,171413921,,Business Revenue,,Low,N,N,N,N,N,02-01-2001,07-09-2006,13-06-1992,"Vadodara, Gujarat",Shareholding > 25%,N,"88 Corporate Park, Vadodara, Gujarat - 669481","Plot 303, Industrial Area, Vadodara, Gujarat","156, Residential Colony, Vadodara, Gujarat",U88874AQ2019PTC220268,517102122880,Asha Agarwal
837297618061,Aditi Kapoor,Individual,Individual,20-04-1992,Manoj Nair,Indian,Indian,Resident,India,UXSPL4436C,281932946642,XXXX-XXXX-4844,AADHAAR-8643XXXX3782,8613005190,aditi.kapoor55@outlook.com,"432, Ring Road, Thiruvananthapuram, Kerala - 205111",Kerala,Thiruvananthapuram,16.801535,74.307992,Accountant,86690344,35,Business Income,,High,N,Y,N,N,Y,22-03-2024,13-06-2024,,,,,,,,,,
441009032217,Rahul Sharma,Individual,Individual,29-04-2006,Manoj Shah,Indian,Indian,Resident,India,NGHPP0855O,760045322403,XXXX-XXXX-1936,AADHAAR-2320XXXX1963,6117091243,rahul.sharma315@hotmail.com,"187, Ring Road, Jaipur, Rajasthan - 462058",Rajasthan,Jaipur,26.868074,75.777526,Engineer,445169,26,Salary,,Low,N,N,N,N,N,22-08-2021,20-05-2024,,,,,,,,,,
283098787750,Neha Banerjee,Individual,Individual,30-08-1984,Ravi Bhat,Indian,Indian,Resident,India,SXYPC9135X,278811295703,XXXX-XXXX-2215,AADHAAR-3652XXXX2097,7939276524,neha.banerjee507@hotmail.com,"288, NH Highway, Puri, Odisha - 565190",Odisha,Puri,21.149914,75.10663,Salaried - Government,2110465,1,Salary,,Medium,N,N,N,Y,N,31-05-2020,07-10-2024,,,,,,,,,,
395888006168,Rohan Shah,Individual,Individual,20-05-1970,Naveen Deshmukh,Indian,Indian,Resident,India,UARPU0817E,653740695980,XXXX-XXXX-2277,AADHAAR-6168XXXX2916,6527112363,rohan.shah938@yahoo.co.in,"316, Gandhi Nagar, Thiruvananthapuram, Kerala - 821383",Kerala,Thiruvananthapuram,20.222689,74.734265,Salaried - IT,2249826,27,Business Income,,Medium,N,N,N,N,Y,17-03-2019,09-09-2022,,,,,,,,,,
292381371502,Golden Imports,Non-Individual,Society,,,Indian,,Resident,India,TXAGI9743L,,,,8358751528,golden172@hotmail.com,,Haryana,Panipat,24.355631,79.372586,Textiles,271007723,,Donations,,Low,N,N,N,N,N,14-11-2017,30-05-2023,24-08-2014,"Panipat, Haryana",Senior Managing Official,N,"192 Corporate Park, Panipat, Haryana - 891318","Plot 205, Industrial Area, Panipat, Haryana","115, Residential Colony, Panipat, Haryana",U71788QL2017PTC240494,193132588891,Rajesh Mishra
588874104959,Naveen Pillai,Individual,Individual,19-10-1988,Varun Pandey,Indian,Indian,Resident,India,GEWPE3999V,842986293489,XXXX-XXXX-9026,AADHAAR-7727XXXX3772,8998539380,naveen.pillai167@hotmail.com,"188, Ring Road, Thiruvananthapuram, Kerala - 900789",Kerala,Thiruvananthapuram,23.804873,73.37739,Salaried - Insurance,8374086,13,Family Support,,High,Y,N,N,N,Y,16-10-2020,10-04-2023,,,,,,,,,,
965405616991,Divya Pillai,Individual,Individual,02-10-1991,Vivek Iyer,Indian,Indian,Resident,India,UOWPV9354F,882985206434,XXXX-XXXX-9921,AADHAAR-8762XXXX5418,6429775649,divya.pillai502@yahoo.co.in,"433, Ring Road, Madurai, Tamil Nadu - 430020",Tamil Nadu,Madurai,21.94668,75.506959,Self-Employed - Retail,1378357,40,Agriculture Income,,Medium,N,N,N,N,N,06-10-2020,16-11-2021,,,,,,,,,,
939284985138,Mamta Joshi,Individual,Individual,25-03-1979,Naveen Iyer,Indian,Indian,Resident,India,VQIPJ5779H,733859794013,XXXX-XXXX-4073,AADHAAR-7694XXXX1815,6709448148,mamta.joshi216@hotmail.com,"322, NH Highway, Chennai, Tamil Nadu - 326181",Tamil Nadu,Chennai,13.120755,80.274506,Consultant,271610,33,Rental Income,,Low,N,N,N,Y,N,16-01-2024,18-06-2024,,,,,,,,,,
774307156576,Sandeep Mehta,Individual,Individual,13-05-1975,Sanjay Pillai,Indian,Indian,Resident,India,JRXPW4018J,912510223993,XXXX-XXXX-6965,AADHAAR-4302XXXX1286,9178705514,sandeep.mehta720@gmail.com,"478, MG Road, Indore, Madhya Pradesh - 338648",Madhya Pradesh,Indore,19.335422,77.699496,Business Owner,1095159,18,Investment Returns,,Medium,N,N,N,Y,N,14-10-2019,03-05-2023,,,,,,,,,,
394815027284,Aditya Tiwari,Individual,Individual,28-11-1961,Sanjay Gupta,Indian,Indian,Resident,India,QSQPL1803U,361444089471,XXXX-XXXX-5375,AADHAAR-3501XXXX0211,9004207417,aditya.tiwari586@gmail.com,"114, Gandhi Nagar, Jabalpur, Madhya Pradesh - 252315",Madhya Pradesh,Jabalpur,18.787196,75.689074,Lawyer,2058929,31,Agriculture Income,,Medium,N,N,N,N,N,25-09-2021,11-07-2022,,,,,,,,,,
921434147370,Bhavna Bhat,Individual,Individual,19-12-1962,Vivek Sharma,Indian,Indian,Resident,India,QPFPL0564G,605836070078,XXXX-XXXX-8402,AADHAAR-2502XXXX8626,7705738166,bhavna.bhat581@yahoo.co.in,"278, Gandhi Nagar, Mumbai, Maharashtra - 149471",Maharashtra,Mumbai,19.121468,72.83294,Salaried - Telecom,2191721,0,Rental Income,,Medium,N,N,N,N,N,22-04-2017,12-05-2017,,,,,,,,,,
329661287721,Star Trading Co,Non-Individual,LLP,,,Indian,,Resident,India,QKBHM7725J,,,,9872022952,star7@hotmail.com,,Maharashtra,Pune,18.47839,73.847881,Financial Services,3526416,,Trading Profits,,Medium,N,N,N,N,N,10-10-2005,03-06-2013,25-03-1995,"Pune, Maharashtra",Shareholding > 25%,N,"141 Corporate Park, Pune, Maharashtra - 912713","Plot 310, Industrial Area, Pune, Maharashtra","605, Residential Colony, Pune, Maharashtra",U44673FV1995PTC434018,642583198596,Sunita Patel
179204456948,Harsh Sharma,Individual,Individual,10-09-1975,Nikhil Verma,Indian,Indian,Resident,India,MBUPX1547N,655432788078,XXXX-XXXX-0918,AADHAAR-5654XXXX9794,8343555727,harsh.sharma463@rediffmail.com,"132, Ring Road, Bengaluru, Karnataka - 185774",Karnataka,Bengaluru,13.012279,77.603775,Self-Employed - Retail,7323271,22,Investment Returns,,High,Y,N,N,N,N,22-07-2020,12-01-2024,,,,,,,,,,
227201137248,Sachin Iyer,Individual,Individual,13-08-1969,Tushar Mishra,Indian,Indian,Resident,India,ULBPR5403F,426412696121,XXXX-XXXX-2830,AADHAAR-7862XXXX7972,8950854401,sachin.iyer193@yahoo.co.in,"55, Park Street, Bhopal, Madhya Pradesh - 299084",Madhya Pradesh,Bhopal,23.225403,77.430376,Student,1350806,7,Agriculture Income,,Medium,N,N,N,N,Y,15-11-2020,26-06-2022,,,,,,,,,,
367902448736,Rashmi Rao,Individual,Individual,04-05-1987,Naveen Rao,Indian,Indian,Resident,India,CXEPN3939I,363343799819,XXXX-XXXX-0566,AADHAAR-5754XXXX7520,9047659782,rashmi.rao977@yahoo.co.in,"83, Ring Road, Bhagalpur, Bihar - 732203",Bihar,Bhagalpur,16.871124,80.004225,Doctor,606957,34,Investment Returns,,Medium,N,N,N,Y,N,25-05-2020,13-08-2020,,,,,,,,,,
668881319797,Pradeep Shah,Individual,Individual,09-02-1980,Vikram Pandey,Indian,Indian,NRI,Other,NEEPO8258Z,517023351150,XXXX-XXXX-7177,AADHAAR-2450XXXX8627,9315213433,pradeep.shah514@outlook.com,"429, NH Highway, Gaya, Bihar - 364483",Bihar,Gaya,21.020934,76.140338,Engineer,308540,32,Overseas Business,JP,Low,N,N,N,N,N,08-02-2024,29-11-2024,,,,,,,,,,
427778433905,Anjali Bhat,Individual,Individual,07-07-1972,Rahul Das,Indian,Indian,Resident,India,CDTPP0679U,891707249558,XXXX-XXXX-2801,AADHAAR-5735XXXX4028,8138228720,anjali.bhat77@hotmail.com,"390, NH Highway, Puri, Odisha - 604742",Odisha,Puri,19.594018,73.880977,Salaried - Banking,1938385,4,Agriculture Income,,Medium,N,N,N,N,N,19-11-2018,29-12-2024,,,,,,,,,,
538374642353,Manoj Shah,Individual,Individual,13-08-1988,Rahul Reddy,Indian,Indian,Resident,India,TQDPM5049I,711325510042,XXXX-XXXX-6991,AADHAAR-6188XXXX2387,9539192354,manoj.shah658@yahoo.co.in,"9, NH Highway, Coimbatore, Tamil Nadu - 548795",Tamil Nadu,Coimbatore,19.417296,76.096155,Doctor,355755,11,Agriculture Income,,Low,N,N,N,N,N,22-05-2016,04-01-2024,,,,,,,,,,
177042171445,Amit Bhat,Individual,Individual,11-06-1979,Mohit Mukherjee,Indian,Indian,Resident,India,RGUPF1074L,733575842321,XXXX-XXXX-9125,AADHAAR-7659XXXX9876,9000799311,amit.bhat983@hotmail.com,"466, Gandhi Nagar, Hyderabad, Telangana - 587080",Telangana,Hyderabad,17.416386,78.533215,Engineer,656464,28,Rental Income,,Medium,N,N,N,N,Y,26-09-2021,29-04-2024,,,,,,,,,,
832448222897,Aditi Kumar,Individual,Individual,06-01-1996,Harsh Verma,Indian,Indian,Resident,India,IMYPW3711H,703008423854,XXXX-XXXX-2758,AADHAAR-2013XXXX8061,7365949149,aditi.kumar162@gmail.com,"211, Park Street, Panipat, Haryana - 491660",Haryana,Panipat,16.916384,76.573836,Student,388954,36,Salary,,Low,N,N,N,Y,N,08-03-2019,03-10-2024,,,,,,,,,,
714297869559,Ravi Yadav,Individual,Individual,25-03-2005,Arjun Pandey,Indian,Indian,Resident,India,GITPY0180R,996581652295,XXXX-XXXX-5324,AADHAAR-3384XXXX8030,9859760805,ravi.yadav242@hotmail.com,"17, NH Highway, Rohini, Delhi - 911685",Delhi,Rohini,23.708576,79.132635,Self-Employed - Professional,339190,26,Agriculture Income,,Low,N,N,N,N,Y,26-04-2022,17-01-2024,,,,,,,,,,
706247522038,Jyoti Mukherjee,Individual,Individual,25-01-2003,Pradeep Chatterjee,Indian,Indian,Resident,India,SWDPO2117V,440200517587,XXXX-XXXX-4978,AADHAAR-3410XXXX9586,9849263222,jyoti.mukherjee92@outlook.com,"60, NH Highway, Salem, Tamil Nadu - 865750",Tamil Nadu,Salem,23.233198,78.681454,Doctor,420889,36,Investment Returns,,Low,N,N,N,Y,N,19-06-2016,02-04-2023,,,,,,,,,,
503796039124,Om Industries,Non-Individual,LLP,,,Indian,,Resident,India,CIQAY1034Z,,,,8074656918,om218@gmail.com,,Kerala,Kozhikode,23.253908,79.596089,Pharmaceuticals,407838650,,Business Revenue,,Medium,N,N,N,N,N,30-01-2021,17-06-2022,13-10-2009,"Kozhikode, Kerala",Control through other means,Y,"195 Corporate Park, Kozhikode, Kerala - 368685","Plot 234, Industrial Area, Kozhikode, Kerala","894, Residential Colony, Kozhikode, Kerala",U26996WC2020PTC275958,247482846467,Rajesh Reddy
187795056134,Tanvi Shah,Individual,Individual,04-07-2001,Rajesh Nair,Indian,Indian,Resident,India,WPXPT8876L,644232997320,XXXX-XXXX-8639,AADHAAR-5727XXXX9657,8019974018,tanvi.shah780@gmail.com,"246, NH Highway, Rohini, Delhi - 415997",Delhi,Rohini,16.845806,79.930043,Lawyer,284463,22,Business Income,,Low,N,N,N,Y,N,21-08-2019,02-06-2023,,,,,,,,,,
750023081821,Sapna Bhat,Individual,Individual,14-09-1990,Amit Bhat,Indian,Indian,Resident,India,CAOPB1467M,477320996863,XXXX-XXXX-3874,AADHAAR-8158XXXX8389,6326598898,sapna.bhat510@gmail.com,"419, Nehru Place, Kozhikode, Kerala - 661844",Kerala,Kozhikode,23.59414,79.908063,Salaried - Telecom,846391,40,Investment Returns,,Medium,N,N,N,N,N,21-06-2023,08-08-2024,,,,,,,,,,
652312084430,Aditi Malhotra,Individual,Individual,24-07-1986,Ashish Joshi,Indian,Indian,Resident,India,LBHPK0246M,284878250606,XXXX-XXXX-5544,AADHAAR-4646XXXX2422,8073025607,aditi.malhotra599@hotmail.com,"139, Ring Road, Pune, Maharashtra - 801881",Maharashtra,Pune,18.563337,73.821364,Salaried - Healthcare,1078655,10,Business Income,,Medium,N,N,N,N,Y,21-03-2016,24-11-2023,,,,,,,,,,
142910057501,Star Solutions,Non-Individual,Partnership,,,Indian,,Resident,India,RPQTQ8320L,,,,7372827765,star156@outlook.com,,Odisha,Puri,21.794441,78.240667,Import/Export,480493267,,Business Revenue,,Medium,N,N,N,N,N,10-12-2022,20-09-2023,17-03-2022,"Puri, Odisha",Senior Managing Official,N,"174 Corporate Park, Puri, Odisha - 345235","Plot 179, Industrial Area, Puri, Odisha","818, Residential Colony, Puri, Odisha",U69400QG2000PTC742295,358778526931,Gaurav Mehta
329522750552,Arjun Yadav,Individual,Individual,13-08-1999,Anil Agarwal,Indian,Indian,Resident,India,IRXPD3417O,560744380831,XXXX-XXXX-9965,AADHAAR-7932XXXX4183,8893372012,arjun.yadav898@gmail.com,"397, Station Road, Warangal, Telangana - 272673",Telangana,Warangal,23.677778,81.022191,Doctor,1361955,0,Family Support,,Medium,N,N,N,N,N,15-12-2022,29-03-2024,,,,,,,,,,
470350580874,Global Group,Non-Individual,Public Limited,,,Indian,,Resident,India,SCSGH5507I,,,,7879242266,global231@yahoo.co.in,,Maharashtra,Mumbai,19.039171,72.861769,Education,378826104,,Government Grant,,High,N,N,N,N,N,27-11-2003,10-08-2014,22-08-2002,"Mumbai, Maharashtra",Shareholding > 25%,N,"92 Corporate Park, Mumbai, Maharashtra - 622354","Plot 266, Industrial Area, Mumbai, Maharashtra","626, Residential Colony, Mumbai, Maharashtra",U28350UI2020PTC328647,489353661346,Mamta Mishra
458069302124,Suresh Joshi,Individual,Individual,29-04-1998,Sachin Gupta,Indian,Indian,Resident,India,ACHPL4562E,751151804572,XXXX-XXXX-6156,AADHAAR-4658XXXX2731,6257458384,suresh.joshi566@rediffmail.com,"278, Gandhi Nagar, Indore, Madhya Pradesh - 676874",Madhya Pradesh,Indore,18.336196,78.540393,Lawyer,204566,24,Family Support,,Low,N,N,N,Y,Y,23-01-2017,05-10-2019,,,,,,,,,,
133242596657,Anil Malhotra,Individual,Individual,03-04-1991,Aditya Nair,Indian,Indian,Resident,India,ECZPA2599V,849736438385,XXXX-XXXX-9944,AADHAAR-6025XXXX1215,7665684541,anil.malhotra894@rediffmail.com,"325, Ring Road, Ahmedabad, Gujarat - 559105",Gujarat,Ahmedabad,23.050698,72.591159,Business Owner,9066177,20,Agriculture Income,,High,Y,N,N,N,N,02-11-2022,07-02-2024,,,,,,,,,,
103686767321,Aditya Reddy,Individual,Individual,31-08-2003,Kiran Bose,Indian,Indian,Resident,India,DOAPA4098Q,758733398471,XXXX-XXXX-0362,AADHAAR-3607XXXX1717,8592655409,aditya.reddy168@hotmail.com,"36, NH Highway, Madurai, Tamil Nadu - 280599",Tamil Nadu,Madurai,19.298842,75.521201,Freelancer,66318714,30,Agriculture Income,,High,N,Y,N,Y,N,08-12-2015,10-03-2024,,,,,,,,,,
801630280781,Kiran Sharma,Individual,Individual,23-11-1986,Rajesh Bose,Indian,Indian,Resident,India,MAOPP7994R,559998051373,XXXX-XXXX-7155,AADHAAR-2322XXXX3140,6168661007,kiran.sharma286@outlook.com,"17, MG Road, Udaipur, Rajasthan - 963652",Rajasthan,Udaipur,19.330355,74.428632,Retired,415797,8,Investment Returns,,Low,N,N,N,N,N,23-02-2018,07-09-2024,,,,,,,,,,
365676478425,Pallavi Bose,Individual,Individual,28-02-1980,Gaurav Malhotra,Indian,Indian,Resident,India,XGIPI8121Y,685065376756,XXXX-XXXX-5418,AADHAAR-6911XXXX2540,6699583471,pallavi.bose174@outlook.com,"383, Gandhi Nagar, Siliguri, West Bengal - 793110",West Bengal,Siliguri,24.584064,74.462522,Student,1058920,39,Pension,,Medium,N,N,N,N,N,11-04-2015,30-09-2016,,,,,,,,,,
113138246871,Suresh Banerjee,Individual,Individual,29-04-2005,Ravi Mishra,Indian,Indian,Resident,India,LJBPA4138Q,640122305617,XXXX-XXXX-4143,AADHAAR-2590XXXX4111,7804796979,suresh.banerjee287@gmail.com,"318, MG Road, Thrissur, Kerala - 607072",Kerala,Thrissur,22.078493,81.558341,Salaried - Banking,9101635,33,Salary,,High,Y,N,N,Y,N,01-04-2022,10-03-2023,,,,,,,,,,
422660968840,Suresh Mehta,Individual,Individual,18-05-1996,Manoj Chauhan,Indian,Indian,Resident,India,AKPPB5099U,296129148392,XXXX-XXXX-9357,AADHAAR-2651XXXX7703,6717137230,suresh.mehta208@yahoo.co.in,"310, Ring Road, Varanasi, Uttar Pradesh - 116671",Uttar Pradesh,Varanasi,25.132187,79.271605,Engineer,287971,2,Pension,,Low,N,N,N,N,Y,14-04-2019,31-10-2020,,,,,,,,,,
388614355697,Pooja Yadav,Individual,Individual,01-05-2004,Kiran Das,Indian,Indian,Resident,India,GTJPN8692V,544122693640,XXXX-XXXX-1366,AADHAAR-8772XXXX0114,8813511018,pooja.yadav855@outlook.com,"383, NH Highway, Ludhiana, Punjab - 550977",Punjab,Ludhiana,16.007869,79.144966,Self-Employed - Professional,9439539,16,Family Support,,High,N,N,N,N,N,30-04-2016,05-11-2018,,,,,,,,,,
199145746280,Sapna Deshmukh,Individual,Individual,04-09-1984,Vikram Bose,Indian,Indian,Resident,India,OWKPX8199A,583882804748,XXXX-XXXX-5007,AADHAAR-6585XXXX0710,8595012314,sapna.deshmukh915@rediffmail.com,"111, Station Road, Rohini, Delhi - 258262",Delhi,Rohini,21.781399,77.816314,Salaried - Telecom,680002,23,Salary,,Medium,N,N,N,Y,N,13-09-2019,03-12-2020,,,,,,,,,,
599975225263,Shruti Kapoor,Individual,Individual,08-08-1974,Varun Joshi,Indian,Indian,Resident,India,ODXPT6316D,911273794049,XXXX-XXXX-2777,AADHAAR-4048XXXX3606,9921803909,shruti.kapoor454@hotmail.com,"18, Station Road, Kozhikode, Kerala - 473843",Kerala,Kozhikode,24.214283,77.954744,Self-Employed - Professional,286178,11,Salary,,Low,N,N,N,N,Y,23-01-2017,19-10-2017,,,,,,,,,,
910024515625,Pradeep Chatterjee,Individual,Individual,07-12-1986,Vivek Mukherjee,Indian,Indian,Resident,India,OOCPR0013B,754517211317,XXXX-XXXX-6630,AADHAAR-6729XXXX3375,7624265756,pradeep.chatterjee121@yahoo.co.in,"378, Ring Road, Siliguri, West Bengal - 274611",West Bengal,Siliguri,22.39469,73.484476,Salaried - Banking,421978,3,Pension,,Low,N,N,N,Y,N,13-04-2015,30-09-2017,,,,,,,,,,
312031034847,Neha Joshi,Individual,Individual,31-05-1970,Nikhil Patel,Indian,Indian,Resident,India,EZFPE8320L,306904616493,XXXX-XXXX-5255,AADHAAR-7406XXXX3183,6443243979,neha.joshi78@hotmail.com,"209, Nehru Place, Varanasi, Uttar Pradesh - 431409",Uttar Pradesh,Varanasi,19.638468,78.067172,Business Owner,1974031,32,Pension,,High,N,N,N,Y,N,11-10-2020,13-12-2022,,,,,,,,,,
943183162233,Vivek Kumar,Individual,Individual,26-07-1962,Akash Banerjee,Indian,Indian,Resident,India,INVPF2314D,222707938389,XXXX-XXXX-2126,AADHAAR-9599XXXX5132,7344985494,vivek.kumar419@gmail.com,"192, Park Street, Jaipur, Rajasthan - 172289",Rajasthan,Jaipur,26.932065,75.785168,Self-Employed - Retail,97075509,7,Family Support,,Medium,N,Y,N,N,Y,28-08-2015,24-09-2017,,,,,,,,,,
934579159904,Priya Pandey,Individual,Individual,18-08-2006,Vikram Kapoor,Indian,Indian,Resident,India,YZWPQ6526W,605979957460,XXXX-XXXX-2270,AADHAAR-3959XXXX3673,6878363123,priya.pandey81@yahoo.co.in,"273, MG Road, Muzaffarpur, Bihar - 343318",Bihar,Muzaffarpur,19.646331,81.148207,Accountant,79996292,3,Pension,,Low,N,Y,N,N,N,04-02-2021,18-06-2023,,,,,,,,,,
