account_number,customer_cif,customer_branch_ifsc,account_category,account_type,account_status,account_opening_date,inoperative_status_date,credit_summation_period,debit_summation_period
3946345057708,155661467965,CNRB028009,Recurring Deposit,Basic,Active,13-01-2022,,1178118.62,1133320.24
81618706844624,232899555128,HDFC058623,Savings,Regular,Active,09-08-2017,,1512567.29,2817495.73
69819775509061,232899555128,HDFC058623,Salary,Regular,Active,19-06-2020,,3004358.58,3562123.05
57470514140262,407474850174,BKID036781,Recurring Deposit,Premium,Active,20-05-2024,,387517.33,771901.58
43219407187474,909330639711,CNRB041225,Fixed Deposit,BSBD,Active,22-09-2024,,2199152.67,1879870.73
45360996530490,909330639711,CNRB041225,Current,BSBD,Active,04-04-2019,,495718.74,773160.09
3730362791596297,455566797129,PUNB048499,Current,Basic,Active,21-03-2020,,2513243.73,3235901.65
2683980988719077,455566797129,PUNB048499,Savings,BSBD,Dormant,26-05-2023,29-05-2024,7582.79,84243.2
10166343361421,809408551281,CNRB013613,Fixed Deposit,Corporate,Active,20-07-2024,,1036149.14,7716946.15
8321404249131,809408551281,CNRB013613,Current,Regular,Active,24-11-2020,,10741228.36,11879103.07
827484110756,332805120469,KKBK056367,Salary,Premium,Active,03-12-2024,,1736404.82,5947352.73
184963358714,156673114300,ICIC073397,Fixed Deposit,Basic,Active,24-09-2018,,1589380.26,1671340.06
9983736639473,717024468395,CNRB042320,Savings,Premium,Active,07-04-2023,,1762960.3,4122589.34
83439247916268,164933822742,HDFC099202,NRO,Regular,Active,05-02-2019,,1643993.68,2983685.94
505050637883,445662465609,KKBK020301,Fixed Deposit,Premium,Active,26-07-2023,,1588456.95,4530725.79
68825877750,445662465609,KKBK020301,Fixed Deposit,Regular,Active,16-10-2024,,699893.45,891784.58
323868878327,306894921590,ICIC095009,Recurring Deposit,Regular,Active,29-03-2021,,602654.82,1499905.13
11548511978,503796039124,BKID044999,Current,Regular,Active,06-02-2023,,579029.83,4960965.05
77200651560,503796039124,BKID044999,Current,Corporate,Active,24-12-2022,,6992544.06,9997957.6
5438347906809,716435337980,BKID033469,Savings,Basic,Active,29-11-2022,,608554.35,1840658.71
35712892516509,716435337980,BKID033469,Savings,Regular,Active,13-11-2022,,974917.17,1091398.26
9135539462664,163579691953,UTIB044990,Fixed Deposit,Basic,Active,29-08-2016,,1828691.12,1635544.93
3893978163026817,688437321284,PUNB067574,Salary,BSBD,Active,01-07-2022,,1302618.65,5280447.29
8788264365112697,688437321284,PUNB067574,Salary,Premium,Active,04-09-2020,,2631993.05,2335095.27
5653899979641588,304020802247,PUNB098114,Current,BSBD,Active,01-02-2020,,2436542.21,4247225.25
9184807514791,319890230252,UTIB082100,Savings,BSBD,Active,30-03-2022,,2978849.19,4272625.02
982325040241,968191536603,KKBK077490,Savings,Regular,Active,19-02-2023,,1216600.13,1044966.54
59026690275,839125901369,SBIN035456,Savings,BSBD,Active,30-09-2023,,341283.12,2566792.18
90933305578,839125901369,SBIN035456,Recurring Deposit,Regular,Active,30-12-2023,,1101416.78,1234364.24
717129954501,843617747862,ICIC072079,Savings,Regular,Active,09-08-2021,,998748.69,1613951.43
48624008753,419209226548,CNRB075981,Savings,Premium,Active,24-02-2024,,387891.01,2333150.87
9187453509695,191643902853,UTIB021186,Savings,Regular,Active,24-08-2023,,35129.74,1610619.43
73193777418743,797316678077,IOBA019770,Current,BSBD,Active,19-04-2018,,1263425.25,2881199.51
26964398906958,797316678077,IOBA019770,Fixed Deposit,Premium,Active,02-02-2022,,994367.74,1991388.08
9259031344033,834537927308,UTIB025678,Savings,BSBD,Active,31-05-2017,,1945919.48,3457024.88
67248798298,622013735179,SBIN049977,Salary,Regular,Active,13-03-2023,,459278.91,1826431.58
65454409387138,774156275925,HDFC012304,Savings,BSBD,Dormant,04-03-2024,27-09-2024,0.0,0.0
8845622898974958,114266795994,PUNB090389,Savings,Basic,Active,29-12-2021,,2094996.58,1703582.43
2800495091867,837460061583,BARB020030,Salary,Regular,Active,21-11-2024,,1005834.84,3852265.03
925329044909,960640379677,ICIC060993,Current,Basic,Active,13-10-2023,,1227442.11,1541017.49
3081965616104,331909387454,BARB095684,Salary,Regular,Active,19-10-2020,,1584280.82,2492439.82
16820338815,306117726762,IOBA088677,Savings,Regular,Frozen,22-01-2019,,0.0,0.0
51435005595881,263560809632,BARB015392,Current,Corporate,Active,10-08-2024,,3577661.44,5529125.29
70893609033016,263560809632,BARB015392,Fixed Deposit,Regular,Active,14-10-2020,,4414521.48,2692605.6
51549318504855,151882308245,KKBK012360,Salary,Premium,Active,23-05-2023,,421349.72,4299553.43
3558898663707,105696953180,KKBK014780,Salary,Regular,Active,12-07-2024,,3246895.8,6405534.52
13119289677,105696953180,KKBK014780,Savings,Basic,Active,26-08-2022,,792235.87,1314420.85
765718654917,718982651235,KKBK025942,Salary,Basic,Active,13-05-2024,,238800.9,1975841.25
14906487711,486885076516,KKBK099383,Fixed Deposit,Basic,Active,23-04-2022,,2102486.09,3068231.47
8670844875243,486885076516,KKBK099383,Current,Basic,Active,09-07-2020,,412714.94,1038825.4
1102130472157948,680481307586,PUNB044004,Salary,Premium,Active,03-11-2024,,1246817.42,1990039.87
4289424025720757,680481307586,PUNB044004,Savings,BSBD,Active,26-11-2022,,112973.38,2826554.27
28726746730,608801262290,SBIN037313,Fixed Deposit,Regular,Active,01-05-2022,,5700504.0,5705954.28
39475152267,608801262290,SBIN037313,Fixed Deposit,Regular,Active,04-03-2019,,4406761.72,12351232.32
9266288235089,869810579519,UTIB085693,Savings,Basic,Active,09-11-2022,,704030.05,2475899.61
9226122501116,869810579519,UTIB085693,Current,Regular,Active,05-06-2022,,2216025.07,2601322.67
435149574233,896859805308,BKID071340,Fixed Deposit,Corporate,Active,14-08-2024,,14531640.01,13124390.88
296674776090,306447784470,IOBA079291,Savings,Basic,Active,01-01-2024,,1829094.52,2865109.56
93068787626,306447784470,IOBA079291,Fixed Deposit,BSBD,Active,05-07-2024,,3943204.19,6586550.67
2141874169902442,624465348864,PUNB046095,Savings,Basic,Active,12-01-2019,,567684.72,3305837.89
9142673589933950,624465348864,PUNB046095,Recurring Deposit,Regular,Active,12-05-2021,,791962.19,2275701.4
34527625518300,771274781663,IOBA098226,Savings,BSBD,Active,19-09-2020,,2712111.19,4142972.45
4894005011709,157564993656,BARB069431,Savings,Basic,Active,07-07-2022,,1800741.07,4145143.58
183203029153,711083679372,ICIC092653,Savings,Regular,Active,29-12-2022,,1765412.12,2078756.99
545380767942,678949556763,IOBA071309,Salary,Basic,Active,15-11-2024,,331870.44,810292.28
79970230616,678949556763,IOBA071309,Recurring Deposit,Premium,Active,04-02-2024,,1198253.12,2214902.09
92457981517,583816330039,CNRB045869,Current,Basic,Active,13-11-2024,,3220353.62,1412685.17
1025058851340,583816330039,CNRB045869,Fixed Deposit,Regular,Active,14-09-2022,,3589550.62,6038642.36
46908346089738,555121677421,CNRB063454,NRE,Premium,Active,09-11-2019,,1583534.14,2764058.88
94909583801,555121677421,CNRB063454,NRE,Premium,Active,28-02-2022,,3292269.21,4513453.87
312207200414,103783496133,BKID079958,Current,Basic,Active,19-11-2017,,325863.7,368086.51
9226754182553,390533986340,UTIB037180,Fixed Deposit,Corporate,Dormant,19-12-2021,27-05-2022,0.0,147191.36
679576113997,487302694608,ICIC043526,Savings,Regular,Active,27-10-2021,,1888686.67,3316629.29
954080463035,738067783030,KKBK046609,Savings,Premium,Active,18-02-2024,,164513.84,1702408.57
58009832051,738067783030,KKBK046609,Savings,Regular,Active,22-09-2019,,1585397.88,2404653.66
71961712758,448111749947,IOBA066886,Current,BSBD,Frozen,03-03-2024,,0.0,0.0
764440358260,261566223535,IOBA041555,Savings,Premium,Active,11-01-2019,,488697.21,846940.57
227857710140,261566223535,IOBA041555,Salary,Premium,Active,06-03-2024,,2649671.21,1865951.16
7341007561132,172260486129,CNRB076499,Salary,BSBD,Active,30-01-2020,,2364419.13,5779929.89
42888540479,172260486129,CNRB076499,Recurring Deposit,Premium,Active,20-08-2024,,714462.99,3047588.88
195144946919,656832040779,ICIC085652,Current,Premium,Active,20-08-2024,,497913.95,3206283.89
9129584428688,356644880281,UTIB076640,Savings,Basic,Active,10-01-2024,,1524464.22,2197436.48
238628354029,426675585182,IOBA077457,Current,Premium,Dormant,08-10-2024,01-12-2024,3345.17,92886.32
8268790543556201,542914720298,PUNB039342,Fixed Deposit,Regular,Active,27-03-2019,,345868.76,4320889.67
4585674549628028,542914720298,PUNB039342,Fixed Deposit,Regular,Active,17-05-2017,,4494962.0,7622940.84
5616354288963,216196967742,IOBA023867,Fixed Deposit,Regular,Active,18-01-2020,,1478093.19,1635127.86
1370970009014,561434334566,KKBK038990,Savings,Regular,Dormant,24-12-2021,31-08-2022,0.0,0.0
717710063881,832565995353,BKID011726,Savings,Basic,Dormant,13-10-2021,09-11-2022,0.0,0.0
2194995554988270,820041939748,PUNB030927,Savings,Regular,Active,22-02-2017,,1418032.18,2839595.79
86609194132,343568404501,SBIN093780,NRE,Regular,Active,20-11-2019,,1247831.41,2276073.67
29929345011,343568404501,SBIN093780,NRE,Premium,Active,29-10-2018,,2134177.09,2993796.22
2399153491705,494188509102,BARB010029,Savings,Premium,Active,19-09-2022,,1500304.77,3427551.38
2801950003914310,494689487638,PUNB076986,Current,Regular,Active,14-09-2022,,1901929.2,2721749.24
77537662444120,341647391801,BKID054220,Salary,Regular,Active,08-05-2023,,1494771.09,2191633.19
9305498866867,341647391801,BKID054220,Current,Premium,Active,04-07-2018,,401700.74,769615.77
318767561610,231476568357,ICIC053513,Recurring Deposit,Basic,Active,22-12-2024,,1080363.17,3536778.98
39368785601,898977259383,CNRB063351,Recurring Deposit,BSBD,Active,24-12-2022,,70681.81,484654.93
13963447908192,898977259383,CNRB063351,Salary,Basic,Closed,25-04-2023,,0.0,0.0
82934900573400,110131052544,HDFC077520,Current,Corporate,Active,11-01-2020,,2417440.4,913927.11
49727350016232,280614211864,HDFC039410,NRO,Regular,Active,15-04-2022,,1440110.08,1213662.74
83268008583550,280614211864,HDFC039410,NRO,Premium,Active,08-10-2022,,673154.34,3159376.5
34482102356707,883958426631,HDFC075203,Fixed Deposit,Regular,Active,19-03-2024,,226090.37,602868.13
202307262417,959094952073,BARB027505,Fixed Deposit,Premium,Active,25-05-2020,,2043155.1,2915432.12
54168243971,864927650579,SBIN082293,Fixed Deposit,Regular,Active,30-03-2024,,1734866.59,4804249.51
41250117088,702406349098,KKBK087370,Recurring Deposit,Basic,Active,06-02-2018,,2324722.98,5118563.12
4694339412420747,852593299483,PUNB051955,Salary,BSBD,Active,28-05-2020,,3473730.82,4373952.94
3813640743295321,852593299483,PUNB051955,Current,Basic,Frozen,07-06-2022,,0.0,0.0
9028559777912,231792650241,BARB057853,Savings,Basic,Active,15-08-2019,,2019268.33,2611306.98
1267484241945,911103412327,BKID058252,Current,Regular,Active,24-12-2017,,742278.83,2459949.02
84710702174,911103412327,BKID058252,Savings,Basic,Closed,06-11-2019,,0.0,0.0
9205079392905,596198389708,UTIB056147,Salary,Basic,Active,17-09-2022,,1815170.89,4629166.96
9387754050332844,516263402233,PUNB093243,Recurring Deposit,BSBD,Active,14-06-2020,,2417674.56,3592160.08
3785842675359150,516263402233,PUNB093243,Savings,Premium,Active,24-08-2019,,925058.64,1488116.42
9153446077416,288922835965,UTIB046735,Salary,Premium,Frozen,24-02-2018,,0.0,0.0
783580031794,129648098055,CNRB070527,Salary,Regular,Active,23-07-2023,,2232786.78,4221389.52
1529697002396967,546255045499,PUNB030466,Savings,Basic,Active,29-05-2024,,1860461.14,3714327.85
3527245118193,537990129966,BARB026446,Current,Regular,Active,12-12-2017,,470650.47,3460526.64
38907379975764,405421460024,HDFC090160,Savings,Basic,Active,10-10-2022,,1579638.17,2401981.96
69887088222666,405421460024,HDFC090160,Salary,Regular,Active,31-07-2024,,1738164.7,4214314.4
944465683829,368999165042,ICIC027976,Salary,Basic,Active,08-08-2023,,2912731.24,5594438.52
134285671615,368999165042,ICIC027976,Savings,Premium,Active,23-04-2024,,1796384.54,3680980.27
35862786732575,176473637954,HDFC015978,Savings,Regular,Active,24-11-2019,,280572.53,4324047.77
62657681304702,176473637954,HDFC015978,Savings,Basic,Active,08-05-2022,,1070693.16,2792334.96
49994040027663,943088704409,BKID058366,Savings,BSBD,Closed,29-09-2023,,0.0,0.0
99465046058932,943088704409,BKID058366,Salary,Regular,Active,22-12-2024,,2513076.98,2461172.77
431119291182,607896451530,IOBA030890,Current,Corporate,Active,30-12-2024,,4242570.9,6247544.06
88519876480,607896451530,IOBA030890,Fixed Deposit,Corporate,Active,12-09-2020,,5344725.89,12105486.13
16392809992,180952081341,SBIN045367,Salary,BSBD,Dormant,30-08-2023,21-12-2024,0.0,2767.55
5801054066129,965924286520,BKID084326,Current,BSBD,Active,16-04-2024,,1046205.36,2850426.98
964274174882,510442328249,ICIC072936,NRE,Premium,Active,29-04-2024,,1672196.38,2109195.41
4031245872065,739731722160,BARB089441,Fixed Deposit,Regular,Active,04-08-2023,,1260053.81,3794534.05
470714412569,739731722160,BARB089441,Current,Regular,Active,16-02-2024,,1005474.58,2483993.69
8668408333110289,560982681681,PUNB014538,Fixed Deposit,Regular,Active,26-02-2023,,2428424.32,1397903.17
2380927646157574,560982681681,PUNB014538,Current,Regular,Active,12-12-2015,,12403456.16,2370764.8
41484215954789,880236046047,BARB026468,Savings,BSBD,Active,31-05-2022,,498924.8,864530.15
9627519333520,880236046047,BARB026468,Savings,Basic,Active,27-12-2021,,551462.44,2672764.86
58052252385,678410532051,SBIN053017,Recurring Deposit,BSBD,Active,06-02-2022,,1136849.23,3349244.93
1828544464250,700451817129,BKID076839,Fixed Deposit,Corporate,Active,05-03-2024,,30227.91,7388724.53
4480022359812,700451817129,BKID076839,Current,Corporate,Frozen,04-09-2024,,0.0,0.0
595955273300,269913854980,ICIC056694,Fixed Deposit,Corporate,Active,06-08-2021,,1394021.64,15802688.6
954528814471,314584911838,KKBK072615,Savings,BSBD,Active,14-05-2024,,1109599.36,2081048.72
687608754624,314584911838,KKBK072615,Salary,Regular,Dormant,14-11-2024,13-02-2025,0.0,0.0
97481591561145,768468576114,IOBA089956,Current,Basic,Active,10-10-2022,,802427.35,6234153.64
42729107747332,987458106619,HDFC097606,NRE,Regular,Active,15-08-2016,,745320.33,3394015.79
85305655765288,987458106619,HDFC097606,NRE,Premium,Frozen,30-08-2017,,0.0,0.0
74582483087644,139810852683,HDFC019575,Salary,Basic,Active,22-09-2022,,3047340.67,3994431.69
79798651955211,139810852683,HDFC019575,Current,Premium,Active,20-08-2023,,2837262.27,5442105.74
59858459277417,280047382886,CNRB048513,Savings,Premium,Active,28-02-2024,,822930.58,3039769.88
1775774854788116,734121477113,PUNB079719,Recurring Deposit,Basic,Active,13-09-2018,,1874808.9,1952142.43
67459108310855,393032660729,HDFC015896,Savings,Basic,Active,02-08-2016,,3858335.86,3809293.56
72932329760071,988189244194,HDFC066234,Current,BSBD,Active,15-02-2020,,2049358.51,2827029.76
96486084822021,988189244194,HDFC066234,Salary,BSBD,Active,27-07-2024,,817194.77,1770444.97
305847611923,895088604457,ICIC090111,Current,Regular,Active,19-01-2023,,2365126.03,4373340.07
24803833803,257845050772,SBIN069997,Fixed Deposit,Premium,Active,13-10-2019,,1021678.04,2063458.56
31577337007,257845050772,SBIN069997,Savings,Premium,Frozen,29-12-2023,,0.0,0.0
20818662934847,120253489120,BARB094441,Savings,Premium,Active,27-05-2021,,990990.68,2350424.22
93414091371,120253489120,BARB094441,Current,Premium,Active,28-01-2021,,724202.43,3525762.37
368016699772,139479548475,BARB056542,Savings,Regular,Active,31-12-2022,,827610.28,2617632.69
3056508405809,139479548475,BARB056542,Fixed Deposit,BSBD,Active,25-10-2022,,11090961.05,2108892.58
82524399054,626109766845,CNRB057933,Salary,BSBD,Active,23-11-2020,,3513284.24,2916516.09
37934718162,563021875144,SBIN057084,Fixed Deposit,Basic,Active,15-04-2024,,1432770.67,2272283.88
9219875719279,926676050206,UTIB096509,Current,BSBD,Dormant,19-04-2015,15-01-2025,0.0,184.89
62328932634916,101413793163,HDFC059588,Fixed Deposit,Corporate,Active,09-03-2024,,4589068.72,4429326.8
92146912535202,101413793163,HDFC059588,Fixed Deposit,Regular,Active,05-05-2019,,10000694.68,16281412.03
57365291954285,780781824496,HDFC029750,Fixed Deposit,Corporate,Active,29-09-2022,,12307226.13,11564843.41
91054272934877,834028609737,BARB061650,Fixed Deposit,Regular,Active,29-10-2024,,1203552.43,3510845.86
57612647867,983731765246,IOBA041187,Current,BSBD,Active,03-06-2020,,346416.3,2058981.05
793019924767,983731765246,IOBA041187,Savings,BSBD,Active,03-03-2023,,2373615.98,4759855.06
9184683303628,321439837926,UTIB023030,Savings,Premium,Active,21-12-2021,,1162173.55,2679328.82
7855315152466853,946577102028,PUNB047356,Salary,Regular,Active,26-07-2021,,1160053.22,2790453.21
58251809953472,156541629111,CNRB026063,Current,Regular,Active,25-11-2022,,1232193.07,2350807.53
7495916018481,107121082878,KKBK046145,Fixed Deposit,Basic,Active,31-07-2024,,1215125.88,1176846.98
26382323536,107121082878,KKBK046145,Savings,Premium,Active,12-07-2024,,972296.99,2727762.99
27177541439348,166831163112,IOBA070250,Savings,Basic,Active,01-01-2022,,390912.97,626105.6
369144699958,906708930443,ICIC035961,Fixed Deposit,Regular,Active,15-08-2022,,649182.34,2045446.37
3828325160345403,191717661692,PUNB087365,Savings,BSBD,Active,01-12-2021,,1784967.89,3455191.89
62476029525,654137072292,KKBK053996,Current,Regular,Active,09-06-2020,,1128003.16,8430140.35
72116963364,198740690766,BARB073864,Savings,Basic,Active,05-07-2023,,2247591.26,1883823.12
97067960591487,198740690766,BARB073864,Salary,BSBD,Active,07-09-2024,,741019.62,2651674.66
92635903358172,127829040931,HDFC054293,Salary,BSBD,Active,14-04-2023,,510815.88,2449857.34
48726821235234,266976253307,KKBK063968,Fixed Deposit,BSBD,Active,15-07-2019,,213746.56,791302.37
24670363528039,305601643064,KKBK078748,Savings,Basic,Active,20-08-2024,,972266.28,3337249.74
96500934950298,870525456224,HDFC021265,Savings,Premium,Active,16-02-2023,,3328016.48,5738146.69
83545060986543,568215749677,BARB084022,Recurring Deposit,BSBD,Closed,29-08-2024,,0.0,0.0
4530209762253,860237839457,BKID048126,Savings,BSBD,Active,25-03-2016,,1997517.28,2124206.9
43591145538,860237839457,BKID048126,Savings,Regular,Active,20-11-2019,,3127577.5,4437888.99
5778383511081,140823838429,BARB035843,Salary,Regular,Closed,20-05-2023,,0.0,0.0
26927016163929,608806038339,CNRB020546,Fixed Deposit,Corporate,Active,15-06-2018,,1057325.58,3886740.58
40623488445151,498976169855,HDFC026784,Salary,BSBD,Active,02-06-2024,,462162.02,2571872.76
95015887853269,498976169855,HDFC026784,Salary,BSBD,Active,13-07-2024,,688384.38,3612312.21
386652041556,439066057330,CNRB031269,Savings,BSBD,Active,17-10-2024,,683141.01,3310414.34
27334614656,439066057330,CNRB031269,Fixed Deposit,Premium,Closed,03-06-2024,,0.0,0.0
562360004003,495405079763,ICIC057030,Current,Premium,Frozen,26-05-2024,,0.0,0.0
73015863410815,651433617990,CNRB063045,Fixed Deposit,Basic,Dormant,15-06-2020,30-06-2023,0.0,0.0
72950270901957,651433617990,CNRB063045,Fixed Deposit,BSBD,Active,29-08-2024,,1748763.48,3643439.68
825023182749,489335378464,ICIC035982,Savings,BSBD,Active,06-05-2021,,761717.1,1960627.24
7317044441122102,865396323001,PUNB099123,Savings,Premium,Active,25-10-2023,,576912.16,2891548.88
9279268134587,924156878512,UTIB022932,Fixed Deposit,Regular,Active,30-09-2023,,2496171.9,4521739.92
69454590175714,508657715365,HDFC026342,Current,BSBD,Active,08-03-2024,,2182461.56,4047529.38
